
=== GRAPH INFO ===
Nodi: 185742
Archi: 591042
Duration (sec): 152482687 = 4y in interval [1610801512, 1763284199]
Delta (sec): 358020 = 4d3h27min


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 57141

size 268 → 1 pattern
size 269 → 3 pattern
size 270 → 3 pattern
size 271 → 3 pattern
size 272 → 2 pattern
size 273 → 3 pattern
size 274 → 2 pattern
size 276 → 3 pattern
size 277 → 1 pattern
size 279 → 3 pattern
size 280 → 2 pattern
size 281 → 5 pattern
size 282 → 4 pattern
size 283 → 1 pattern
size 284 → 2 pattern
size 285 → 2 pattern
size 286 → 2 pattern
size 287 → 2 pattern
size 288 → 1 pattern
size 289 → 4 pattern
size 290 → 1 pattern
size 291 → 1 pattern
size 292 → 4 pattern
size 293 → 1 pattern
size 294 → 2 pattern
size 295 → 1 pattern
size 296 → 2 pattern
size 297 → 3 pattern
size 298 → 2 pattern
size 300 → 2 pattern
size 301 → 4 pattern
size 302 → 3 pattern
size 303 → 1 pattern
size 304 → 1 pattern
size 305 → 2 pattern
size 306 → 4 pattern
size 307 → 3 pattern
size 308 → 4 pattern
size 309 → 3 pattern
size 310 → 1 pattern
size 311 → 4 pattern
size 312 → 1 pattern
size 313 → 1 pattern
size 314 → 4 pattern
size 315 → 4 pattern
size 316 → 1 pattern
size 317 → 2 pattern
size 318 → 1 pattern
size 319 → 2 pattern
size 320 → 1 pattern
size 321 → 4 pattern
size 322 → 1 pattern
size 324 → 2 pattern
size 325 → 2 pattern
size 327 → 2 pattern
size 328 → 1 pattern
size 329 → 3 pattern
size 331 → 4 pattern
size 332 → 1 pattern
size 333 → 2 pattern
size 334 → 4 pattern
size 335 → 3 pattern
size 336 → 2 pattern
size 337 → 4 pattern
size 338 → 4 pattern
size 339 → 1 pattern
size 340 → 1 pattern
size 341 → 1 pattern
size 342 → 2 pattern
size 343 → 3 pattern
size 344 → 2 pattern
size 345 → 2 pattern
size 346 → 2 pattern
size 347 → 1 pattern
size 348 → 2 pattern
size 349 → 2 pattern
size 350 → 6 pattern
size 351 → 1 pattern
size 352 → 1 pattern
size 353 → 1 pattern
size 354 → 1 pattern
size 355 → 4 pattern
