
=== GRAPH INFO ===
Nodi: 29427
Archi: 259367
Duration (sec): 227659473 = 7y in interval [1535634554, 1763294027]
Delta (sec): 217385252 = 6y10m3w5d


=== InStar Counts by Size (grouped by size) ===
Totale pattern: 18103

size 533 → 3 pattern
size 537 → 1 pattern
size 539 → 1 pattern
size 540 → 3 pattern
size 541 → 3 pattern
size 542 → 3 pattern
size 543 → 1 pattern
size 549 → 2 pattern
size 550 → 4 pattern
size 551 → 1 pattern
size 554 → 2 pattern
size 555 → 3 pattern
size 557 → 1 pattern
size 558 → 1 pattern
size 560 → 2 pattern
size 561 → 3 pattern
size 562 → 2 pattern
size 563 → 1 pattern
size 564 → 1 pattern
size 566 → 2 pattern
size 569 → 1 pattern
size 570 → 3 pattern
size 571 → 1 pattern
size 572 → 1 pattern
size 575 → 1 pattern
size 578 → 2 pattern
size 580 → 3 pattern
size 581 → 1 pattern
size 582 → 1 pattern
